site_idx,site_kind,site_keys,n_neurons,metric_name,n_exact_ties,uniqueness_prob_exact,n_tie_groups,equivalent_orderings,n_approx_ties_1e-07,uniqueness_prob_1e-07,n_approx_ties_1e-05,uniqueness_prob_1e-05,n_approx_ties_0.001,uniqueness_prob_0.001,model_name
58,conv_bn_conv,"['layer3.22.conv1.weight', 'layer3.22.bn1.weight']",256,l2_norm,0,1.0,0,1.0,62,0.7578125,62,0.7578125,198,0.2265625,resnet101
59,conv_bn_conv,"['layer3.22.conv2.weight', 'layer3.22.bn2.weight']",256,l2_norm,0,1.0,0,1.0,67,0.73828125,67,0.73828125,176,0.3125,resnet101
60,conv_bn_conv,"['layer4.0.conv1.weight', 'layer4.0.bn1.weight']",512,l2_norm,0,1.0,0,1.0,342,0.33203125,342,0.33203125,486,0.05078125,resnet101
61,conv_bn_conv,"['layer4.0.conv2.weight', 'layer4.0.bn2.weight']",512,l2_norm,0,1.0,0,1.0,338,0.33984375,338,0.33984375,472,0.078125,resnet101
62,conv_bn_conv,"['layer4.1.conv1.weight', 'layer4.1.bn1.weight']",512,l2_norm,0,1.0,0,1.0,277,0.458984375,277,0.458984375,450,0.12109375,resnet101
63,conv_bn_conv,"['layer4.1.conv2.weight', 'layer4.1.bn2.weight']",512,l2_norm,0,1.0,0,1.0,226,0.55859375,226,0.55859375,440,0.140625,resnet101
64,conv_bn_conv,"['layer4.2.conv1.weight', 'layer4.2.bn1.weight']",512,l2_norm,0,1.0,0,1.0,241,0.529296875,241,0.529296875,445,0.130859375,resnet101
65,conv_bn_conv,"['layer4.2.conv2.weight', 'layer4.2.bn2.weight']",512,l2_norm,0,1.0,0,1.0,281,0.451171875,281,0.451171875,449,0.123046875,resnet101
0,conv_bn_conv,"['layer1.0.conv1.weight', 'layer1.0.bn1.weight']",64,bias_value,0,1.0,0,1.0,0,1.0,0,1.0,6,0.90625,resnet101
1,conv_bn_conv,"['layer1.0.conv2.weight', 'layer1.0.bn2.weight']",64,bias_value,0,1.0,0,1.0,2,0.96875,2,0.96875,4,0.9375,resnet101
2,conv_bn_conv,"['layer1.1.conv1.weight', 'layer1.1.bn1.weight']",64,bias_value,0,1.0,0,1.0,2,0.96875,2,0.96875,4,0.9375,resnet101
3,conv_bn_conv,"['layer1.1.conv2.weight', 'layer1.1.bn2.weight']",64,bias_value,0,1.0,0,1.0,2,0.96875,2,0.96875,2,0.96875,resnet101
4,conv_bn_conv,"['layer1.2.conv1.weight', 'layer1.2.bn1.weight']",64,bias_value,0,1.0,0,1.0,0,1.0,0,1.0,4,0.9375,resnet101
5,conv_bn_conv,"['layer1.2.conv2.weight', 'layer1.2.bn2.weight']",64,bias_value,0,1.0,0,1.0,0,1.0,0,1.0,4,0.9375,resnet101
6,conv_bn_conv,"['layer2.0.conv1.weight', 'layer2.0.bn1.weight']",128,bias_value,0,1.0,0,1.0,12,0.90625,12,0.90625,16,0.875,resnet101
7,conv_bn_conv,"['layer2.0.conv2.weight', 'layer2.0.bn2.weight']",128,bias_value,0,1.0,0,1.0,4,0.96875,4,0.96875,20,0.84375,resnet101
8,conv_bn_conv,"['layer2.1.conv1.weight', 'layer2.1.bn1.weight']",128,bias_value,0,1.0,0,1.0,2,0.984375,2,0.984375,22,0.828125,resnet101
9,conv_bn_conv,"['layer2.1.conv2.weight', 'layer2.1.bn2.weight']",128,bias_value,0,1.0,0,1.0,7,0.9453125,7,0.9453125,31,0.7578125,resnet101
10,conv_bn_conv,"['layer2.2.conv1.weight', 'layer2.2.bn1.weight']",128,bias_value,0,1.0,0,1.0,8,0.9375,8,0.9375,16,0.875,resnet101
11,conv_bn_conv,"['layer2.2.conv2.weight', 'layer2.2.bn2.weight']",128,bias_value,0,1.0,0,1.0,2,0.984375,2,0.984375,23,0.8203125,resnet101
12,conv_bn_conv,"['layer2.3.conv1.weight', 'layer2.3.bn1.weight']",128,bias_value,0,1.0,0,1.0,7,0.9453125,7,0.9453125,25,0.8046875,resnet101
